sample,alignment rate,concordantly 1 time,concordantly >1 time
1199,86.43%,79.83%,3.53%
1304,94.07%,86.44%,4.21%
1839,88.00%,79.23%,4.47%
1484,95.70%,86.77%,4.72%
1820,91.27%,82.02%,4.66%
1594,94.42%,85.56%,4.44%
1291,92.28%,83.63%,4.35%
2094,94.74%,87.06%,4.28%
1746,91.34%,81.03%,4.96%
1458,94.29%,85.57%,4.33%
1580,94.21%,84.48%,5.83%
1669,86.47%,77.89%,4.08%
1510,86.94%,79.40%,3.27%
1049,88.88%,80.19%,4.30%
1205,90.53%,81.28%,4.70%
1592,83.32%,74.82%,3.60%
1096,94.83%,84.96%,5.66%
1107,90.92%,82.25%,4.64%
1532,87.62%,78.36%,4.42%
1537,91.39%,82.90%,4.08%
1697,90.61%,80.15%,5.04%
1147,83.14%,75.54%,4.20%
1291,92.81%,84.19%,4.44%
1625,93.37%,82.08%,6.67%
1207,93.95%,85.39%,4.99%
1991,93.61%,85.33%,4.39%
1669,86.51%,77.99%,4.11%
1321,94.03%,85.41%,5.22%
1113,84.26%,76.49%,4.59%
1627,92.92%,82.77%,5.12%
2018,93.20%,84.80%,4.44%
1060,89.82%,80.58%,5.52%
1265,92.31%,83.55%,3.92%
1836,92.47%,84.10%,4.26%
1041,79.87%,72.19%,3.76%
1593,87.68%,79.66%,3.77%
1134,88.75%,80.31%,3.99%
1884,90.69%,81.57%,4.73%
1891,94.10%,85.60%,4.61%
1295,92.54%,84.31%,4.86%
2030,93.63%,85.08%,4.79%
1839,88.08%,79.40%,4.40%
2020,92.68%,83.69%,4.97%
1242,94.75%,86.47%,5.02%
1881,93.67%,85.14%,4.54%
1449,79.69%,70.74%,2.42%
1523,93.29%,84.52%,4.27%
2263,91.56%,82.68%,4.60%
1158,85.22%,78.27%,3.73%
1879,92.83%,84.08%,4.70%
1833,89.92%,50.07%,32.45%
1831,91.39%,82.74%,4.17%
1980,90.48%,81.98%,4.27%
1080,93.88%,83.10%,6.31%
2229,85.11%,76.01%,4.03%
2071,92.60%,84.04%,4.70%
1100,86.62%,78.64%,4.41%
1116,94.42%,84.55%,5.48%
1207,94.17%,85.66%,5.04%
1036,81.81%,73.85%,4.06%
1844,91.43%,82.25%,4.64%
1323,85.78%,77.05%,4.76%
1205,90.48%,81.27%,4.66%
1096,94.93%,85.21%,5.62%
2018,93.17%,84.73%,4.45%
1904,89.56%,81.76%,4.22%
2263,91.54%,82.57%,4.66%
1903,93.88%,85.21%,4.71%
2020,92.51%,83.56%,4.88%
1036,82.04%,74.10%,4.05%
1179,90.16%,81.88%,3.68%
1789,92.69%,83.69%,4.64%
1425,89.27%,82.08%,2.74%
2022,91.14%,82.32%,4.77%
2120,93.59%,85.52%,4.51%
1304,94.01%,86.23%,4.31%
1491,93.89%,85.07%,4.86%
1502,94.57%,85.66%,4.96%
1110,91.28%,81.54%,4.17%
2164,95.34%,87.90%,4.35%
1242,94.84%,86.44%,5.19%
2197,93.96%,86.04%,3.88%
1886,93.48%,84.80%,4.88%
1818,92.77%,83.33%,5.05%
1484,95.81%,86.99%,4.71%
1080,93.95%,83.10%,6.47%
1589,88.77%,78.48%,4.77%
2119,93.40%,85.22%,4.60%
1914,93.27%,84.27%,5.20%
1989,94.01%,85.50%,4.81%
2168,95.39%,87.49%,4.72%
1640,95.10%,85.79%,4.97%
1034,95.18%,85.46%,5.28%
1431,91.09%,82.07%,4.34%
1199,86.34%,79.68%,3.59%
1652,93.60%,84.79%,4.20%
2311,92.97%,85.54%,3.67%
1965,93.98%,85.29%,4.63%
1192,86.87%,77.11%,5.23%
2164,95.30%,87.87%,4.31%
2018,93.20%,84.82%,4.42%
2311,93.16%,85.73%,3.71%
1111,81.07%,71.79%,5.23%
2303,92.18%,83.83%,4.31%
1776,89.17%,80.32%,3.82%
1782,89.38%,79.89%,4.80%
1907,94.76%,85.69%,5.58%
1445,93.21%,84.12%,4.58%
1652,92.86%,83.72%,4.12%
1510,86.93%,79.34%,3.30%
1179,90.13%,81.79%,3.60%
2118,94.42%,86.06%,5.16%
1980,90.45%,81.87%,4.35%
1434,93.65%,84.49%,4.62%
2229,85.41%,76.13%,4.24%
2118,94.23%,85.88%,5.10%
2231,86.12%,77.14%,3.98%
1594,94.66%,85.94%,4.45%
1685,83.23%,73.26%,4.08%
1785,89.77%,79.90%,4.89%
1843,92.64%,83.97%,4.56%
1041,80.81%,73.08%,3.84%
1434,93.90%,84.79%,4.70%
1818,92.75%,83.34%,5.05%
1199,86.26%,79.66%,3.50%
1784,88.81%,79.03%,4.60%
2152,91.68%,82.71%,4.88%
1058,94.80%,85.72%,4.91%
1154,95.80%,86.29%,5.54%
1640,95.31%,86.19%,4.91%
1886,93.45%,85.06%,4.65%
1113,84.36%,76.39%,4.72%
1154,95.92%,86.59%,5.49%
2152,91.78%,82.77%,4.95%
1697,90.52%,79.96%,5.03%
2195,95.41%,87.25%,4.63%
1593,86.67%,78.24%,3.74%
1080,94.11%,83.33%,6.45%
2261,87.58%,77.42%,4.90%
1886,93.44%,84.95%,4.74%
1789,92.70%,83.72%,4.60%
2076,93.62%,84.43%,5.21%
1758,88.63%,79.32%,4.12%
1916,94.63%,86.03%,4.62%
1965,93.99%,85.35%,4.56%
1194,96.14%,87.04%,5.69%
2026,93.59%,85.27%,4.65%
1534,94.34%,84.70%,5.57%
1811,90.27%,80.63%,4.89%
1158,86.86%,79.89%,3.75%
1082,89.42%,80.33%,5.15%
1836,92.56%,84.26%,4.18%
2303,91.99%,83.73%,4.20%
1517,93.52%,84.30%,4.97%
1625,93.32%,81.92%,6.69%
1910,94.36%,85.52%,5.09%
1881,93.68%,85.40%,4.34%
1811,90.36%,80.67%,4.93%
1820,91.23%,82.05%,4.56%
2094,94.87%,87.28%,4.23%
1517,94.27%,85.52%,5.00%
2030,93.65%,85.15%,4.78%
2297,91.55%,82.73%,4.51%
1491,93.15%,83.85%,4.82%
1819,89.41%,80.08%,4.47%
1082,89.29%,80.15%,5.17%
2022,91.40%,82.50%,4.91%
1424,93.56%,85.49%,4.61%
2119,93.43%,85.26%,4.60%
1194,96.25%,87.42%,5.53%
1798,92.10%,82.44%,5.14%
1425,88.20%,80.74%,2.67%
