sample,total reads,paired unique mapped reads,alignment rate,concordantly 1 time,concordantly >1 time
1058,15551626,13260735,94.56%,85.27%,4.96%
2003,8111177,6703525,91.41%,82.65%,4.29%
1965,7350477,6265711,93.96%,85.24%,4.63%
1484,13992848,12094681,95.50%,86.43%,4.72%
1116,16676176,14146370,94.67%,84.83%,5.61%
2020,5425323,4534772,92.52%,83.59%,4.88%
1627,11144589,9366048,93.74%,84.04%,5.16%
2141,6004748,5113859,92.82%,85.16%,3.93%
1207,7692892,6596184,94.26%,85.74%,5.07%
2022,4791617,3949497,91.20%,82.43%,4.75%
1504,3025905,2006927,74.95%,66.32%,3.07%
1295,8985231,7559530,92.46%,84.13%,4.92%
1652,9013019,7648945,93.66%,84.87%,4.28%
1424,3206613,2733253,93.51%,85.24%,4.72%
2168,8534513,7446089,95.29%,87.25%,4.81%
1504,3037673,2049821,75.95%,67.48%,3.22%
1638,18002551,14061030,86.15%,78.11%,3.64%
1534,17365914,14648339,94.23%,84.35%,5.66%
1458,13625929,11605079,94.06%,85.17%,4.34%
1517,12143571,10349052,94.14%,85.22%,5.11%
1145,6041431,4959401,89.89%,82.09%,4.25%
2154,6408009,5157061,90.32%,80.48%,5.94%
1445,5222273,4397582,93.27%,84.21%,4.55%
1179,2680247,2152717,88.94%,80.32%,3.56%
1134,15703800,12580198,88.53%,80.11%,3.90%
1291,7720709,6491820,92.74%,84.08%,4.46%
1278,11529596,9610789,92.21%,83.36%,4.03%
1930,7369199,6072723,92.09%,82.41%,4.96%
2003,8091163,6686328,91.39%,82.64%,4.26%
1158,2874256,2278886,86.07%,79.29%,3.68%
1517,12273003,10461269,94.15%,85.24%,5.10%
1746,6706651,5460822,91.49%,81.42%,4.82%
1197,5998846,4996923,91.16%,83.30%,4.06%
2131,5059172,4102664,89.37%,81.09%,3.81%
1482,1628232,1312537,89.58%,80.61%,4.40%
1049,4956873,3989640,89.15%,80.49%,4.30%
2094,5592747,4872172,94.75%,87.12%,4.23%
2029,4376123,3687010,92.49%,84.25%,4.39%
1049,4886050,3896489,88.54%,79.75%,4.33%
1669,4251724,3263699,85.51%,76.76%,3.94%
1778,4468849,3429049,86.58%,76.73%,4.66%
1449,2499094,1801635,80.71%,72.09%,2.41%
1793,4356080,3356433,85.56%,77.05%,4.05%
2071,5888261,4941063,92.44%,83.91%,4.63%
2064,4621697,3775774,90.17%,81.70%,4.22%
1776,1754033,1405754,89.15%,80.14%,3.86%
1147,5233140,3976509,83.65%,75.99%,4.16%
1594,12724489,10914989,94.51%,85.78%,4.41%
2261,8108074,6260345,87.62%,77.21%,5.16%
1928,6703571,5407015,90.41%,80.66%,4.73%
2317,5498590,4527855,91.67%,82.35%,5.28%
1194,18647781,16261402,96.23%,87.20%,5.75%
1638,18257233,14506726,87.14%,79.46%,3.63%
1589,4051289,3176997,88.75%,78.42%,4.89%
1113,4025128,3059596,83.74%,76.01%,4.59%
2123,4660526,4016528,94.01%,86.18%,4.21%
1278,11257156,9417147,92.37%,83.65%,3.99%
1930,7325287,6030266,92.06%,82.32%,5.04%
1991,6648506,5676721,93.67%,85.38%,4.38%
1321,7111956,6065373,94.01%,85.28%,5.36%
1907,6746220,5786972,94.72%,85.78%,5.50%
1444,7265737,6078924,92.41%,83.67%,4.20%
1435,5098542,4327474,93.37%,84.88%,4.18%
1904,4103658,3359584,89.70%,81.87%,4.25%
1237,5773120,4757454,90.69%,82.41%,4.73%
1578,8516750,7345541,94.94%,86.25%,5.13%
1991,6555608,5597797,93.65%,85.39%,4.37%
1980,5184671,4242303,90.38%,81.82%,4.30%
2195,5997276,5233165,95.44%,87.26%,4.68%
1589,4066437,3187966,88.71%,78.40%,4.78%
1687,3600160,2490421,77.35%,69.18%,3.44%
1523,4555348,3804109,92.64%,83.51%,4.19%
1491,5965803,5065947,93.81%,84.92%,4.80%
1831,5290186,4372568,91.47%,82.65%,4.32%
1170,14929721,12802188,94.53%,85.75%,4.79%
1444,7616895,6453949,93.17%,84.73%,4.29%
1886,4559571,3873868,93.50%,84.96%,4.80%
1784,4887502,3870348,88.88%,79.19%,4.52%
1644,15013711,12869404,94.52%,85.72%,4.68%
1534,17566336,14845490,94.19%,84.51%,5.45%
2073,5212845,4351595,91.88%,83.48%,4.39%
1592,5572324,4163670,83.25%,74.72%,3.62%
1060,4355335,3539626,90.48%,81.27%,5.63%
2064,4643006,3791868,90.14%,81.67%,4.17%
2311,5105165,4363703,93.02%,85.48%,3.79%
1145,5995963,4850522,88.69%,80.90%,4.21%
1534,17657904,14857599,94.00%,84.14%,5.56%
1889,4862044,4051328,93.34%,83.33%,5.52%
1687,3620594,2499371,77.24%,69.03%,3.47%
1123,3872342,3064869,86.70%,79.15%,4.26%
1976,6020552,5058592,92.69%,84.02%,4.87%
1482,1638021,1320415,89.67%,80.61%,4.34%
1136,5233121,4243522,88.51%,81.09%,4.14%
1510,7890785,6278678,87.04%,79.57%,3.25%
1687,3617872,2500435,77.25%,69.11%,3.48%
1903,5776167,4918483,93.92%,85.15%,4.84%
1662,12467403,10638406,94.03%,85.33%,4.52%
1891,4843193,4150228,94.12%,85.69%,4.55%
1425,1974656,1622742,89.26%,82.18%,2.74%
1989,6772891,5797019,94.00%,85.59%,4.72%
1640,16524867,14276819,95.43%,86.40%,4.95%
1910,6843658,5852139,94.30%,85.51%,5.03%
1904,4078665,3339163,89.67%,81.87%,4.24%
1058,15265519,13078188,94.81%,85.67%,4.98%
1746,6733494,5462885,91.38%,81.13%,4.92%
1695,3896036,3070527,89.97%,78.81%,5.19%
2100,4930210,3933896,87.82%,79.79%,4.17%
2143,5543944,4660295,93.03%,84.06%,4.96%
1036,4642743,3437361,82.05%,74.04%,4.11%
1677,6422374,5524632,94.27%,86.02%,3.99%
1677,6468606,5531816,93.95%,85.52%,4.02%
1085,5593584,4327462,86.15%,77.36%,4.49%
2100,4933878,3940468,87.86%,79.87%,4.15%
1482,1628218,1308522,89.57%,80.37%,4.48%
1800,6083720,5045223,91.91%,82.93%,4.41%
2141,5982986,5109810,92.96%,85.41%,3.90%
1523,4627841,3922617,93.40%,84.76%,4.18%
1147,5211852,3881575,82.24%,74.48%,4.25%
1085,5526255,4229320,85.39%,76.53%,4.46%
1798,6114842,5040618,92.13%,82.43%,5.20%
1971,5651640,4754621,92.76%,84.13%,4.59%
1697,3870429,3092857,90.46%,79.91%,5.05%
1976,6037182,5053706,92.64%,83.71%,5.12%
1300,18557839,15583091,93.66%,83.97%,5.59%
1205,5535011,4483389,90.26%,81.00%,4.68%
2263,5779667,4785233,91.56%,82.79%,4.48%
2064,4629697,3793071,90.39%,81.93%,4.21%
1965,7388977,6303343,93.96%,85.31%,4.55%
1179,2734348,2242002,90.40%,81.99%,3.67%
1170,14757037,12664308,94.56%,85.82%,4.80%
1300,18445980,15367194,93.30%,83.31%,5.59%
1543,5608705,4737543,92.85%,84.47%,3.93%
1482,1567169,1245710,88.73%,79.49%,4.22%
2026,4768652,4067173,93.48%,85.29%,4.50%
1082,5437863,4339227,88.86%,79.80%,5.03%
1593,4413460,3506892,87.68%,79.46%,3.87%
1484,13754846,11926399,95.69%,86.71%,4.78%
1971,5651105,4748197,92.68%,84.02%,4.56%
1304,7280919,6283360,94.09%,86.30%,4.37%
2100,4918883,3938534,88.14%,80.07%,4.27%
1034,15521882,13343097,95.40%,85.96%,5.13%
1785,5003919,3993773,89.71%,79.81%,4.90%
1300,18149235,15186327,93.54%,83.67%,5.58%
1677,6492289,5584894,94.31%,86.02%,4.03%
