sample,total reads,paired unique mapped reads,alignment rate,concordantly 1 time,concordantly >1 time
2303,6111473,5113335,91.96%,83.67%,4.20%
1282,5793563,4626251,88.82%,79.85%,4.60%
1267,3015409,2307648,86.40%,76.53%,3.58%
1321,7293959,6210454,93.96%,85.15%,5.41%
2071,5894657,4943354,92.44%,83.86%,4.67%
1529,4530197,3831315,93.38%,84.57%,4.49%
1136,5328682,4347928,89.02%,81.59%,4.06%
2317,5492857,4534448,91.72%,82.55%,5.12%
1677,6536862,5616090,94.28%,85.91%,4.07%
1685,4855950,3496155,82.19%,72.00%,3.88%
1424,3180767,2723298,93.58%,85.62%,4.48%
1793,4328360,3324149,85.42%,76.80%,4.13%
1058,15637389,13427711,94.92%,85.87%,5.04%
1789,4606853,3852244,92.71%,83.62%,4.73%
1980,5209388,4270328,90.55%,81.97%,4.34%
1782,4624397,3697199,89.49%,79.95%,4.83%
2164,6390942,5617433,95.39%,87.90%,4.43%
1532,5082827,4033368,88.39%,79.35%,4.58%
2024,4567525,3722514,89.78%,81.50%,4.26%
2229,8414087,6374790,85.05%,75.76%,4.22%
1240,15138164,12747887,94.47%,84.21%,5.55%
1537,7616539,6404680,92.19%,84.09%,4.17%
2018,5007762,4256710,93.36%,85.00%,4.45%
1267,2932058,2208299,85.54%,75.32%,3.50%
2003,8071617,6677906,91.43%,82.73%,4.23%
1889,4827518,4026441,93.35%,83.41%,5.44%
1194,18806243,16440431,96.38%,87.42%,5.77%
1811,13786378,11126117,90.33%,80.70%,4.89%
1782,4597923,3672021,89.44%,79.86%,4.89%
1836,4491965,3781947,92.49%,84.19%,4.19%
2317,5509835,4543682,91.65%,82.46%,5.12%
1158,2902394,2313529,86.68%,79.71%,3.80%
1784,4962821,3928845,88.91%,79.17%,4.56%
2120,5338147,4545860,93.39%,85.16%,4.61%
1041,4236631,3104472,80.84%,73.28%,3.74%
1502,14724221,12588310,94.46%,85.49%,4.90%
2120,5313349,4523244,93.37%,85.13%,4.64%
1907,6794407,5816257,94.73%,85.60%,5.66%
2303,6085871,5099919,92.02%,83.80%,4.16%
2073,5210545,4351388,91.82%,83.51%,4.28%
1592,5579353,4171137,83.23%,74.76%,3.64%
1543,5467793,4564342,92.18%,83.48%,3.84%
1999,4706081,3836055,90.82%,81.51%,4.65%
1265,5291699,4427522,92.41%,83.67%,3.93%
1265,5196241,4326886,92.06%,83.27%,3.89%
2135,6104830,5139491,92.61%,84.19%,4.31%
2022,4803182,3956651,91.20%,82.38%,4.79%
1240,15419069,12919003,94.19%,83.79%,5.55%
2168,8518298,7432630,95.32%,87.25%,4.86%
1904,4082909,3333033,89.59%,81.63%,4.37%
1644,15330056,13172552,94.65%,85.93%,4.75%
1154,15704718,13559526,95.78%,86.34%,5.48%
1107,4540870,3744435,90.98%,82.46%,4.52%
1971,5675931,4770462,92.76%,84.05%,4.61%
1435,4870974,4090149,92.72%,83.97%,4.05%
1199,4430057,3536564,86.43%,79.83%,3.53%
1304,7162089,6190891,94.07%,86.44%,4.21%
1839,4979496,3945034,88.00%,79.23%,4.47%
1484,13905933,12065704,95.70%,86.77%,4.72%
1820,4943110,4054101,91.27%,82.02%,4.66%
1594,12652504,10825044,94.42%,85.56%,4.44%
1291,7634367,6384869,92.28%,83.63%,4.35%
2094,5591941,4868291,94.74%,87.06%,4.28%
1746,6744348,5465265,91.34%,81.03%,4.96%
1458,14023865,12000839,94.29%,85.57%,4.33%
1580,16676869,14088709,94.21%,84.48%,5.83%
1669,4319168,3364043,86.47%,77.89%,4.08%
1510,7874403,6252413,86.94%,79.40%,3.27%
1049,5011039,4018256,88.88%,80.19%,4.30%
